n_nodes,actual_density,max_in_degree,alpha,sample_size,kl,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
5,0.4,2,1.0,600,35.646529048655026,0.008724300000039875,0,18,144
5,0.4,2,1.0,1000,24.273919915126143,0.009332699999959004,0,18,144
5,0.4,2,1.0,1400,24.183630584252498,0.007927299999892057,4096,18,144
5,0.4,2,1.0,600,39.86583825828024,0.0077045000000453,0,18,144
5,0.4,2,1.0,1000,39.94829066345951,0.007991499999889129,0,18,144
5,0.4,2,1.0,1400,39.89386491944834,0.008348800000021583,8192,18,144
5,0.4,2,1.0,600,23.417124243569535,0.007901899999978923,0,18,144
5,0.4,2,1.0,1000,23.808684199123757,0.008274700000129087,0,18,144
5,0.4,2,1.0,1400,23.4777054633987,0.00798520000012104,0,18,144
5,0.4,2,1.0,600,42.31326667718777,0.009103899999900023,0,18,144
5,0.4,2,1.0,1000,42.139602610544735,0.0077495999998973275,0,18,144
5,0.4,2,1.0,1400,42.17445045436399,0.007890400000178488,0,18,144
5,0.4,2,5.0,600,35.76015358230133,0.007243300000027375,0,18,144
5,0.4,2,5.0,1000,29.592627999693864,0.007937800000036077,0,18,144
5,0.4,2,5.0,1400,29.68885162243153,0.008039399999915986,0,18,144
5,0.4,2,5.0,600,42.58288273283101,0.008548300000029485,12288,18,144
5,0.4,2,5.0,1000,39.26105181037846,0.009710900000072797,12288,18,144
5,0.4,2,5.0,1400,39.2301329318469,0.009252600000081657,8192,18,144
5,0.4,2,5.0,600,25.776046416062147,0.007639000000153828,0,18,144
5,0.4,2,5.0,1000,25.97712084271521,0.007208799999943949,0,18,144
5,0.4,2,5.0,1400,25.83523314299972,0.008193200000050638,0,18,144
5,0.4,2,5.0,600,24.209162757926148,0.007387199999811855,0,18,144
5,0.4,2,5.0,1000,24.453274333581476,0.01236109999990731,0,18,144
5,0.4,2,5.0,1400,24.314143968707555,0.00789119999990362,0,18,144
5,0.4,2,5.0,600,53.67767634758469,0.009620499999982712,0,18,144
5,0.4,2,5.0,1000,53.69391315250951,0.0075331000000460335,4096,18,144
5,0.4,2,5.0,1400,53.54025488115226,0.00756350000006023,4096,18,144
5,0.4,2,0.1,600,0.015771029387340322,0.007429600000023129,12288,18,144
5,0.4,2,0.1,1000,0.008809965005876734,0.00819509999996626,12288,18,144
5,0.4,2,0.1,1400,0.008772913489422659,0.00841349999996055,0,18,144
5,0.4,2,0.1,600,0.04351106504119008,0.009507999999868844,0,18,144
5,0.4,2,0.1,1000,0.01143669052602517,0.00788250000005064,0,18,144
5,0.4,2,0.1,1400,0.011653172340453433,0.007650900000044203,0,18,144
5,0.4,2,0.1,600,0.003473935870920131,0.007851899999877787,0,18,144
5,0.4,2,0.1,1000,0.004249235150978117,0.008493099999896003,0,18,144
5,0.4,2,0.1,1400,0.003979991096813508,0.008038600000190854,0,18,144
5,0.4,2,0.1,600,0.013480327363938048,0.0084154999999555,0,18,144
5,0.4,2,0.1,1000,0.0056303717329207435,0.008393699999942328,0,18,144
5,0.4,2,0.1,1400,0.002979452657439626,0.008016600000019025,8192,18,144
5,0.4,2,0.1,600,0.009579591169756435,0.008461600000146063,0,18,144
5,0.4,2,0.1,1000,0.007633075042662661,0.008148200000050565,0,18,144
5,0.4,2,0.1,1400,0.008563155361315945,0.007826900000054593,0,18,144
5,0.4,2,0.5,600,42.52591335971083,0.008487099999911152,0,18,144
5,0.4,2,0.5,1000,23.398322005552934,0.00780110000005152,0,18,144
5,0.4,2,0.5,1400,23.69887553163282,0.007883700000093086,0,18,144
5,0.4,2,0.5,600,35.96940349154163,0.008411300000034316,0,18,144
5,0.4,2,0.5,1000,31.860562444998983,0.008730899999818575,4096,18,144
5,0.4,2,0.5,1400,31.826438530667826,0.00809360000016568,0,18,144
5,0.4,2,0.5,600,32.33484980370442,0.008241800000178046,4096,18,144
5,0.4,2,0.5,1000,32.617618159810014,0.00762340000005679,16384,18,144
5,0.4,2,0.5,1400,32.427462562648984,0.009886999999935142,8192,18,144
5,0.4,2,0.5,600,18.20085620674579,0.007439400000066598,0,18,144
5,0.4,2,0.5,1000,18.229201055357418,0.007888699999966775,0,18,144
5,0.4,2,0.5,1400,18.142284695801578,0.008736400000088906,0,18,144
5,0.4,2,0.5,600,51.63459327409044,0.009199999999964348,0,18,144
5,0.4,2,0.5,1000,51.680982968152655,0.007952499999873908,0,18,144
5,0.4,2,0.5,1400,51.623146816444475,0.007547200000090015,0,18,144
5,0.4,2,1.0,600,49.64788470438868,0.008563100000174018,0,18,144
5,0.4,2,1.0,1000,42.882027313924894,0.007746600000018589,0,18,144
5,0.4,2,1.0,1400,43.002479304850965,0.0075383000000783795,0,18,144
5,0.4,2,1.0,600,35.646529048655026,0.007517000000007101,0,18,144
5,0.4,2,1.0,1000,24.273919915126143,0.009466299999985495,0,18,144
5,0.4,2,1.0,1400,24.183630584252498,0.008266600000069957,0,18,144
5,0.4,2,1.0,600,39.86583825828024,0.008281099999976504,0,18,144
5,0.4,2,1.0,1000,39.94829066345951,0.007536500000014712,0,18,144
5,0.4,2,1.0,1400,39.89386491944834,0.007998900000075082,0,18,144
5,0.4,2,1.0,600,23.417124243569535,0.00711179999984779,0,18,144
5,0.4,2,1.0,1000,23.808684199123757,0.00774890000002415,0,18,144
5,0.4,2,1.0,1400,23.4777054633987,0.008346800000026633,0,18,144
5,0.4,2,1.0,600,42.31326667718777,0.008295200000020486,0,18,144
5,0.4,2,1.0,1000,42.139602610544735,0.007401600000093822,0,18,144
5,0.4,2,1.0,1400,42.17445045436399,0.007376300000032643,0,18,144
5,0.4,2,5.0,600,35.76015358230133,0.0074423000000933826,0,18,144
5,0.4,2,5.0,1000,29.592627999693864,0.00750289999996312,0,18,144
5,0.4,2,5.0,1400,29.68885162243153,0.007564499999944019,0,18,144
5,0.4,2,5.0,600,42.58288273283101,0.0080052999999225,0,18,144
5,0.4,2,5.0,1000,39.26105181037846,0.007718800000020565,0,18,144
5,0.4,2,5.0,1400,39.2301329318469,0.007648600000038641,0,18,144
5,0.4,2,5.0,600,25.776046416062147,0.0074240999999801716,0,18,144
5,0.4,2,5.0,1000,25.97712084271521,0.007624100000157341,0,18,144
5,0.4,2,5.0,1400,25.83523314299972,0.007520699999986391,0,18,144
5,0.4,2,5.0,600,24.209162757926148,0.01003590000004806,0,18,144
5,0.4,2,5.0,1000,24.453274333581476,0.009133799999972325,4096,18,144
5,0.4,2,5.0,1400,24.314143968707555,0.007767900000089867,0,18,144
5,0.4,2,5.0,600,53.67767634758469,0.007855199999994511,0,18,144
5,0.4,2,5.0,1000,53.69391315250951,0.007603799999969851,0,18,144
5,0.4,2,5.0,1400,53.54025488115226,0.008146699999997509,0,18,144
5,0.4,2,0.1,600,0.015771029387340322,0.010489900000038688,0,18,144
5,0.4,2,0.1,1000,0.008809965005876734,0.008015199999817924,0,18,144
5,0.4,2,0.1,1400,0.008772913489422659,0.008198499999934938,0,18,144
5,0.4,2,0.1,600,0.04351106504119008,0.008337799999935669,0,18,144
5,0.4,2,0.1,1000,0.01143669052602517,0.00994300000002113,0,18,144
5,0.4,2,0.1,1400,0.011653172340453433,0.00962300000014693,0,18,144
5,0.4,2,0.1,600,0.003473935870920131,0.009299700000156008,0,18,144
5,0.4,2,0.1,1000,0.004249235150978117,0.007673500000009881,0,18,144
5,0.4,2,0.1,1400,0.003979991096813508,0.007332399999995687,0,18,144
5,0.4,2,0.1,600,0.013480327363938048,0.007235799999989467,0,18,144
5,0.4,2,0.1,1000,0.0056303717329207435,0.008073399999830144,0,18,144
5,0.4,2,0.1,1400,0.002979452657439626,0.009997000000112166,0,18,144
