dag_idx,n_nodes,in_degree,alpha,sample_size,kl,density,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
4,5,2,1.0,1000,0.011768535701657763,0.7,0.031854085998929804,0,30,240
4,5,2,1.0,1400,0.008934097772882373,0.7,0.028666442001849646,4096,30,240
5,5,2,1.0,600,0.04596738466646289,0.7,0.036449136001465376,0,30,240
5,5,2,1.0,1000,0.03958924611136621,0.7,0.031981035997887375,12288,30,240
5,5,2,1.0,1400,0.034719934943529554,0.7,0.03113886199935223,4096,30,240
1,5,4,0.1,600,0.005256319074888001,1.0,0.03375660100209643,4096,62,496
1,5,4,0.1,1000,0.0034811936008163897,1.0,0.03378825400068308,0,62,496
1,5,4,0.1,1400,0.003340665863797506,1.0,0.035467822999635246,20480,62,496
2,5,4,0.1,600,0.0582404229310554,1.0,0.03395465100038564,4096,62,496
2,5,4,0.1,1000,0.008474722910902073,1.0,0.033679430998745374,8192,62,496
2,5,4,0.1,1400,0.006610213484998121,1.0,0.03393291899919859,8192,62,496
3,5,4,0.1,600,0.015694531717207475,1.0,0.06178767299934407,0,62,496
3,5,4,0.1,1000,0.010418934168323304,1.0,0.03685851800037199,8192,62,496
3,5,4,0.1,1400,0.009418575432318022,1.0,0.05782648699823767,8192,62,496
4,5,4,0.1,600,0.04576952594392916,1.0,0.027482683002745034,0,62,496
4,5,4,0.1,1000,0.055699670595337286,1.0,0.02729293599986704,73728,62,496
4,5,4,0.1,1400,0.05506713951451934,1.0,0.0275863169990771,16384,62,496
5,5,4,0.1,600,0.07753737009326887,1.0,0.029745001000264892,4096,62,496
5,5,4,0.1,1000,0.03593192150959943,1.0,0.027417018998676213,4096,62,496
5,5,4,0.1,1400,0.002981968033976736,1.0,0.02848888399967109,16384,62,496
1,5,4,0.5,600,0.07598984643638369,1.0,0.028834240001742728,0,62,496
1,5,4,0.5,1000,0.03708895220382025,1.0,0.033791963000112446,8192,62,496
1,5,4,0.5,1400,0.016160918733910568,1.0,0.04065543999968213,8192,62,496
2,5,4,0.5,600,0.11017310319747631,1.0,0.028105800000048475,4096,62,496
2,5,4,0.5,1000,0.042602905458886314,1.0,0.026887898999120807,4096,62,496
2,5,4,0.5,1400,0.0421484443338129,1.0,0.02817666600094526,8192,62,496
3,5,4,0.5,600,0.038459471939729886,1.0,0.02823161099877325,8192,62,496
3,5,4,0.5,1000,0.03357028674521508,1.0,0.026963214000716107,8192,62,496
3,5,4,0.5,1400,0.03073497713504546,1.0,0.02689745300085633,8192,62,496
4,5,4,0.5,600,0.3047091770828297,1.0,0.027130337999551557,4096,62,496
4,5,4,0.5,1000,0.052070850287848865,1.0,0.027554533000511583,12288,62,496
4,5,4,0.5,1400,0.045476446887288156,1.0,0.02847364600165747,16384,62,496
5,5,4,0.5,600,0.14322335613542891,1.0,0.028635717997531174,0,62,496
5,5,4,0.5,1000,0.07097228373790543,1.0,0.028170590001536766,8192,62,496
5,5,4,0.5,1400,0.06248154654888888,1.0,0.02844281799843884,20480,62,496
1,5,4,1.0,600,0.09601405589178248,1.0,0.029050062999885995,4096,62,496
1,5,4,1.0,1000,0.02404439872677109,1.0,0.03481143800308928,4096,62,496
1,5,4,1.0,1400,0.021311142996143218,1.0,0.027082825003162725,20480,62,496
2,5,4,1.0,600,0.17514566663053024,1.0,0.028258819998882245,0,62,496
2,5,4,1.0,1000,0.03580956588145044,1.0,0.026865043000725564,8192,62,496
2,5,4,1.0,1400,0.030364455139537175,1.0,0.027595270999881905,8192,62,496
3,5,4,1.0,600,0.11129638534975136,1.0,0.026858840999921085,0,62,496
3,5,4,1.0,1000,0.10299827729951691,1.0,0.027502367996930843,4096,62,496
3,5,4,1.0,1400,0.04791498910818184,1.0,0.027492100998642854,20480,62,496
4,5,4,1.0,600,0.026835134803379426,1.0,0.02716292799959774,8192,62,496
4,5,4,1.0,1000,0.02380171081267519,1.0,0.026758200001495425,4096,62,496
4,5,4,1.0,1400,0.02633957510577726,1.0,0.02762024099865812,24576,62,496
5,5,4,1.0,600,0.16457990385955795,1.0,0.028346443999907933,0,62,496
5,5,4,1.0,1000,0.06534776338632896,1.0,0.027019946999644162,8192,62,496
5,5,4,1.0,1400,0.05157858577709162,1.0,0.027573064999160124,4096,62,496
1,5,6,0.1,600,0.008759179937251078,1.0,0.027999360998364864,0,62,496
1,5,6,0.1,1000,0.007618158029323426,1.0,0.026809301001776475,8192,62,496
1,5,6,0.1,1400,0.007201247885691315,1.0,0.029979910999827553,8192,62,496
2,5,6,0.1,600,0.003907363121533301,1.0,0.027961225001490675,8192,62,496
2,5,6,0.1,1000,0.0040440424287548765,1.0,0.02715731600255822,8192,62,496
2,5,6,0.1,1400,0.00474966058028202,1.0,0.026947013997414615,8192,62,496
3,5,6,0.1,600,0.0665142131744543,1.0,0.031903494000289356,12288,62,496
3,5,6,0.1,1000,0.024187668538014146,1.0,0.029096349000610644,12288,62,496
3,5,6,0.1,1400,0.002720700651060082,1.0,0.029010360998654505,16384,62,496
4,5,6,0.1,600,0.03943642488721335,1.0,0.02814303299965104,0,62,496
4,5,6,0.1,1000,0.022885779100918525,1.0,0.02835199699984514,4096,62,496
4,5,6,0.1,1400,0.022685817940762656,1.0,0.02822851100063417,8192,62,496
5,5,6,0.1,600,0.06860489678261562,1.0,0.0291849409986753,4096,62,496
5,5,6,0.1,1000,0.007413860318078462,1.0,0.028182972000649897,0,62,496
5,5,6,0.1,1400,0.008261345794874897,1.0,0.02781941899957019,0,62,496
1,5,6,0.5,600,0.14991481155444725,1.0,0.028411208997567883,4096,62,496
1,5,6,0.5,1000,0.040479825787678274,1.0,0.028680626997811487,8192,62,496
1,5,6,0.5,1400,0.026807860276443704,1.0,0.029350755001360085,16384,62,496
2,5,6,0.5,600,0.014861236448402633,1.0,0.028618626998650143,0,62,496
2,5,6,0.5,1000,0.008959447419664696,1.0,0.027839092999784043,4096,62,496
2,5,6,0.5,1400,0.005523866635442643,1.0,0.027864506002515554,8192,62,496
3,5,6,0.5,600,0.2812268856230349,1.0,0.027687547997629736,4096,62,496
3,5,6,0.5,1000,0.10022105062416906,1.0,0.027223097000387497,4096,62,496
3,5,6,0.5,1400,0.053474553075870686,1.0,0.028218273997481447,4096,62,496
4,5,6,0.5,600,0.25040829855851626,1.0,0.028699252998194424,0,62,496
4,5,6,0.5,1000,0.060685044143046915,1.0,0.028277575001993682,4096,62,496
4,5,6,0.5,1400,0.05753190592853466,1.0,0.028047060997778317,4096,62,496
5,5,6,0.5,600,0.13291123129998753,1.0,0.02834453900140943,0,62,496
5,5,6,0.5,1000,0.13104486454434494,1.0,0.027934489997278433,8192,62,496
5,5,6,0.5,1400,0.11364393547690947,1.0,0.027796577996923588,12288,62,496
1,5,6,1.0,600,0.16545410350621326,1.0,0.03182583699890529,4096,62,496
1,5,6,1.0,1000,0.03184853328827987,1.0,0.03775626700007706,4096,62,496
1,5,6,1.0,1400,0.027593558746887955,1.0,0.027410631999373436,20480,62,496
2,5,6,1.0,600,0.3116204907705113,1.0,0.02879985400068108,4096,62,496
2,5,6,1.0,1000,0.0547864426617762,1.0,0.027804132998426212,4096,62,496
2,5,6,1.0,1400,0.0393417527815113,1.0,0.028198254000017187,8192,62,496
3,5,6,1.0,600,0.15767147243820392,1.0,0.02844919299968751,0,62,496
3,5,6,1.0,1000,0.08693072638865719,1.0,0.02673466100168298,4096,62,496
3,5,6,1.0,1400,0.051022557328354506,1.0,0.027850143000250682,8192,62,496
4,5,6,1.0,600,0.17318097953118908,1.0,0.02832543499971507,4096,62,496
4,5,6,1.0,1000,0.0906258942093452,1.0,0.029237350998300826,4096,62,496
4,5,6,1.0,1400,0.018903583994573665,1.0,0.029659236999577843,8192,62,496
5,5,6,1.0,600,0.1568682305421373,1.0,0.028187995998450788,0,62,496
5,5,6,1.0,1000,0.05718519969490844,1.0,0.03033083399714087,4096,62,496
5,5,6,1.0,1400,0.053608271747941035,1.0,0.02867380099996808,12288,62,496
1,5,8,0.1,600,0.010576694984836939,1.0,0.028165636998892296,0,62,496
1,5,8,0.1,1000,0.0017181722111995115,1.0,0.028232658001797972,4096,62,496
1,5,8,0.1,1400,0.0018901901690977117,1.0,0.027883003000169992,12288,62,496
2,5,8,0.1,600,0.0017760293782995583,1.0,0.024981615999422502,0,62,496
2,5,8,0.1,1000,0.0017760293782995583,1.0,0.024798809001367772,0,62,496
